pi,errore
3.13283,0
3.12989,0.00293887
3.13978,0.0100327
3.12979,0.0122541
3.13654,0.0116493
3.13219,0.0104607
3.13355,0.00894447
3.12861,0.00918506
3.12974,0.00817815
3.12626,0.00809686
3.1236,0.00779413
3.11947,0.00822479
3.119,0.00758047
3.1209,0.00727163
3.12421,0.00753617
3.12793,0.00796977
3.12956,0.0076608
3.13084,0.0073351
3.13277,0.00720256
3.13238,0.00684398
3.13138,0.00658623
3.13316,0.00652757
3.13518,0.00655662
3.13521,0.00627753
3.1361,0.00608723
3.13493,0.005965
3.1337,0.00587
3.13452,0.00571512
3.13579,0.00566071
3.13508,0.00551552
3.13861,0.00639928
3.13825,0.00620678
3.13923,0.006095
3.13933,0.00591389
3.13861,0.00578681
3.14066,0.00598501
3.13896,0.00606335
3.13893,0.00590171
3.13962,0.0057888
3.13898,0.00567762
3.13867,0.00554649
3.13902,0.00542445
3.13947,0.00531626
3.14007,0.00522775
3.1414,0.00528096
3.14029,0.00528329
3.14025,0.00516976
3.13884,0.00525577
3.1379,0.00523133
3.13952,0.00537336
3.13954,0.005267
3.13971,0.00516766
3.13914,0.00510128
3.13849,0.00504885
3.14011,0.00521596
3.14107,0.00521115
3.14168,0.00515466
3.14226,0.00509868
3.14432,0.00541778
3.14392,0.00534196
3.14351,0.00526932
3.14395,0.00520199
3.14503,0.00523258
3.14514,0.0051512
3.14564,0.00509591
3.14401,0.0052737
3.14407,0.00519467
3.14459,0.00514439
3.14418,0.00508592
3.14469,0.00503828
3.14446,0.00497178
3.14392,0.00493188
3.14348,0.00488423
3.14268,0.00488322
3.14258,0.00481882
3.14222,0.00476855
3.14175,0.00472895
3.14075,0.00477392
3.14146,0.00476645
3.14167,0.00471079
3.14325,0.00491509
3.14268,0.0048889
3.14187,0.00489604
3.14142,0.00485874
3.14253,0.00492915
3.14295,0.00488955
3.14342,0.00485567
3.14371,0.00480867
3.14317,0.00478449
3.14344,0.00473878
3.14364,0.00469065
3.14371,0.00463983
3.14288,0.00466406
3.14283,0.00461439
3.14248,0.00457906
3.14343,0.00463064
3.14351,0.00458325
3.14306,0.0045581
3.14304,0.00451188
3.14362,0.00450402
